timestamp,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6
58813,-3.237158203,-5.4359375,-7.653857422,0.518292683,0.914634146,-1.524390244
58814,-3.251513672,-5.419189453,-7.646679688,0.487804878,0.518292683,-1.615853659
58815,-3.225195313,-5.423974609,-7.677783203,0.426829268,-0.06097561,-1.798780488
58816,-3.213232422,-5.443115234,-7.646679688,0.579268293,-0.182926829,-1.676829268
58817,-3.234765625,-5.443115234,-7.61796875,0.853658537,-0.152439024,-1.280487805
58818,-3.239550781,-5.423974609,-7.625146484,1.219512195,-0.06097561,-0.975609756
58819,-3.287402344,-5.400048828,-7.596435547,1.25,0,-0.792682927
58820,-3.294580078,-5.426367188,-7.591650391,1.067073171,-0.030487805,-0.884146342
58821,-3.273046875,-5.402441406,-7.589257813,0.853658537,-0.12195122,-1.31097561
58822,-3.304150391,-5.4359375,-7.591650391,0.487804878,0.030487805,-1.280487805
58823,-3.294580078,-5.450292969,-7.61796875,0.640243902,0.152439024,-1.219512195
58824,-3.301757813,-5.402441406,-7.560546875,0.853658537,0.518292683,-1.219512195
58825,-3.320898438,-5.385693359,-7.610791016,0.701219512,0.640243902,-1.128048781
58826,-3.246728516,-5.337841797,-7.601220703,0.426829268,0.579268293,-1.097560976
58827,-3.328076172,-5.447900391,-7.687353516,-0.213414634,0.792682927,-1.676829268
58828,-3.385498047,-5.469433594,-7.649072266,0.670731707,1.463414634,-1.829268293
58829,-3.232373047,-5.419189453,-7.620361328,1.219512195,0.12195122,-2.012195122
58830,-3.239550781,-5.428759766,-7.610791016,1.585365854,0.792682927,-1.280487805
58831,-3.337646484,-5.400048828,-7.536621094,1.768292683,1.219512195,-0.731707317
58832,-3.296972656,-5.423974609,-7.606005859,1.219512195,0.335365854,-0.823170732
58833,-3.304150391,-5.431152344,-7.601220703,0.853658537,0.670731707,-1.280487805
58834,-3.294580078,-5.371337891,-7.596435547,0.609756098,1.036585366,-1.798780488
58835,-3.244335938,-5.412011719,-7.622753906,0.091463415,0.914634146,-1.829268293
58836,-3.275439453,-5.402441406,-7.629931641,0.274390244,1.493902439,-1.737804878
58837,-3.25390625,-5.407226563,-7.632324219,0.396341463,1.341463415,-1.585365854
58838,-3.280224609,-5.443115234,-7.629931641,0.457317073,0.945121951,-1.463414634
58839,-3.265869141,-5.402441406,-7.627539063,0.853658537,0.640243902,-1.463414634
58840,-3.232373047,-5.407226563,-7.668212891,0.884146342,0.731707317,-1.615853659
58841,-3.251513672,-5.433544922,-7.596435547,0.975609756,0.945121951,-1.615853659
58842,-3.251513672,-5.433544922,-7.596435547,0.975609756,0.945121951,-1.615853659
58843,-3.239550781,-5.423974609,-7.627539063,1.097560976,0.640243902,-1.676829268
58844,-3.25390625,-5.414404297,-7.603613281,1.280487805,0.609756098,-1.463414634
58845,-3.256298828,-5.407226563,-7.610791016,1.219512195,0.304878049,-1.280487805
58846,-3.275439453,-5.438330078,-7.606005859,1.006097561,0.304878049,-1.31097561
58847,-3.258691406,-5.412011719,-7.589257813,0.823170732,0.304878049,-1.493902439
58848,-3.273046875,-5.407226563,-7.598828125,0.609756098,0.487804878,-1.646341463
58849,-3.275439453,-5.416796875,-7.620361328,0.548780488,0.579268293,-1.676829268
58850,-3.270654297,-5.457470703,-7.651464844,0.670731707,0.487804878,-1.554878049
58851,-3.261083984,-5.445507813,-7.603613281,0.945121951,0.731707317,-1.646341463
58852,-3.280224609,-5.376123047,-7.613183594,1.036585366,0.762195122,-1.585365854
58853,-3.206054688,-5.354589844,-7.644287109,0.640243902,0.548780488,-1.432926829
58854,-3.268261719,-5.483789063,-7.675390625,0.213414634,1.158536585,-1.676829268
58855,-3.373535156,-5.467041016,-7.598828125,1.219512195,1.554878049,-1.768292683
58856,-3.189306641,-5.438330078,-7.625146484,1.524390244,-0.426829268,-1.981707317
58857,-3.218017578,-5.428759766,-7.613183594,1.585365854,0.304878049,-1.37195122
58858,-3.304150391,-5.407226563,-7.562939453,1.37195122,0.670731707,-0.975609756
58859,-3.265869141,-5.426367188,-7.598828125,0.853658537,-0.06097561,-1.18902439
58860,-3.277832031,-5.452685547,-7.622753906,0.609756098,0.487804878,-1.585365854
58861,-3.285009766,-5.388085938,-7.582080078,0.396341463,0.640243902,-1.981707317
58862,-3.227587891,-5.440722656,-7.625146484,0.030487805,0.609756098,-2.103658537
58863,-3.273046875,-5.438330078,-7.613183594,0.335365854,1.402439024,-1.951219512
58864,-3.256298828,-5.423974609,-7.637109375,0.335365854,1.25,-1.768292683
58865,-3.239550781,-5.423974609,-7.610791016,0.426829268,0.884146342,-1.585365854
58866,-3.249121094,-5.419189453,-7.651464844,0.609756098,1.006097561,-1.463414634
58867,-3.241943359,-5.39765625,-7.627539063,0.731707317,0.975609756,-1.554878049
58868,-3.246728516,-5.426367188,-7.639501953,0.792682927,0.975609756,-1.554878049
58869,-3.232373047,-5.431152344,-7.613183594,0.975609756,0.762195122,-1.402439024
58870,-3.237158203,-5.428759766,-7.608398438,1.219512195,0.457317073,-1.37195122
